SnippetId,RevisionType,RevCount
7013,1,1
12087,,0
19767,3,1
22057,,0
24890,,0
24890,,0
24890-3,3,1
26217-2,,0
26746,,0
43600,,0
57446,3,2
59255,,0
78348,1,1
81747,1,1
99180,,0
102431,,0
113177,2,1
124243-2,,0
130530-3,,0
130530-2,,0
